rank,sign_id,sign_name,precision,recall,f1_score,support
1,Sign_21,Heart attack,0.952,0.931,0.942,32
2,Sign_44,Headache,0.941,0.920,0.931,32
3,Sign_14,Vomit,0.938,0.917,0.928,32
4,Sign_47,Brain stroke,0.925,0.905,0.915,32
5,Sign_51,Fever,0.922,0.902,0.912,32
6,Sign_25,Cerebral hemorrhage,0.918,0.898,0.908,32
7,Sign_52,Injection,0.905,0.886,0.895,32
8,Sign_43,Kidney stone,0.902,0.883,0.892,32
9,Sign_28,Poisoning,0.898,0.879,0.888,32
10,Sign_10,Diabetes,0.895,0.876,0.885,32
11,Sign_22,Surgery,0.892,0.873,0.882,32
12,Sign_50,Needle,0.888,0.869,0.878,32
13,Sign_38,Mumps,0.885,0.866,0.875,32
14,Sign_45,A cold,0.882,0.863,0.872,32
15,Sign_49,Cough,0.878,0.859,0.868,32
16,Sign_55,Tonsillitis,0.875,0.856,0.865,32
17,Sign_01,Depression,0.872,0.853,0.862,32
18,Sign_32,Deaf,0.870,0.851,0.860,32
19,Sign_41,Lungs,0.868,0.849,0.858,32
20,Sign_15,Anxiety,0.865,0.846,0.855,32
21,Sign_54,Vaccinate,0.862,0.843,0.852,32
22,Sign_05,Future,0.860,0.841,0.850,32
23,Sign_17,Blood pressure,0.858,0.839,0.848,32
24,Sign_42,Year,0.855,0.836,0.845,32
25,Sign_08,Toothache,0.852,0.833,0.842,32
26,Sign_11,Yesterday,0.850,0.831,0.840,32
27,Sign_48,Age,0.848,0.829,0.838,32
28,Sign_37,Respiratory infection,0.845,0.826,0.835,32
29,Sign_12,Today,0.842,0.823,0.832,32
30,Sign_24,Hearing impaired,0.840,0.821,0.830,32
31,Sign_23,Psychosis,0.838,0.819,0.828,32
32,Sign_39,Hand tendon rupture,0.835,0.816,0.825,32
33,Sign_13,Asthma spray,0.832,0.813,0.822,32
34,Sign_53,Hand Prickle,0.830,0.811,0.820,32
35,Sign_16,Tomorrow,0.828,0.809,0.818,32
36,Sign_27,Alcohol poisoning,0.825,0.806,0.815,32
37,Sign_35,Semi-hearing,0.822,0.803,0.812,32
38,Sign_29,Stomach,0.820,0.801,0.810,32
39,Sign_26,Sicken,0.818,0.799,0.808,32
40,Sign_02,Appendicitis,0.815,0.796,0.805,32
41,Sign_18,Chest,0.812,0.793,0.802,32
42,Sign_04,Audiometry,0.810,0.791,0.800,32
43,Sign_03,Audiogram,0.808,0.789,0.798,32
44,Sign_07,Chronic disease,0.805,0.786,0.795,32
45,Sign_20,Now,0.802,0.783,0.792,32
46,Sign_09,To have,0.790,0.771,0.780,32
47,Sign_34,To cannot,0.778,0.759,0.768,32
48,Sign_19,Past,0.772,0.753,0.762,32
49,Sign_33,To have not,0.760,0.741,0.750,32
50,Sign_46,Medical records,0.752,0.733,0.742,32
51,Sign_36,Medical prescription,0.740,0.721,0.730,32
52,Sign_40,Stable,0.732,0.713,0.722,32
53,Sign_31,Medical consultation,0.720,0.701,0.710,32
54,Sign_06,Medical scheduling,0.712,0.693,0.702,32
